"whale_num","whale_ID","dive_num","dive_type","descent_dur","ascent_dur","descent_rate","ascent_rate","dive_dur","post_dive_surf","t_to_click","click_dur","fluke_rate","odba","max_depth","head_var"
8," zc05_167a ",11,0,4.863333,5.39,0.754216,0.614999,0.263833,2.056667,0.5495,0,0.052383,0.30074,221.026276,0.034712
8," zc05_167a ",12,0,3.756667,6.326667,0.999357,0.467349,0.250667,10.51,0.264556,0,0.040332,0.327599,197.147675,0.034721
8," zc05_167a ",13,0,13.336667,22.3,1.537132,0.911959,0.877,2.666667,1.42661,0.621556,0.246225,1.190946,1356.217741,0.168749
8," zc05_167a ",14,0,4.9,5.246667,0.533036,0.441362,0.247444,2.693333,1.42661,0,0.025286,0.713782,154.537663,0.044962
8," zc05_167a ",15,0,8.02,3.73,0.245653,0.499419,0.233556,6.257245,1.42661,0,0.003366,0.536477,125.251152,0.068407
9," zc05_170a ",1,0,3.05,4.403333,0.907831,0.528181,0.277944,2.306667,0.267028,0,0.229253,1.300647,155.11763,0.010783
9," zc05_170a ",2,0,1.183333,2.1,0.289867,0.419046,0.065222,3.76,0.163361,0,0.23051,1.327698,58.749671,0.037444
9," zc05_170a ",3,0,8.643333,22.653333,1.43606,0.53987,1.166056,2.553333,2.068806,0.702778,0.257559,1.579628,815.181548,0.088463
9," zc05_170a ",4,0,5.386667,5.38,0.815129,0.727609,0.286,3.15,1.74025,0,0.175767,1.118334,262.456073,0.002592
9," zc05_170a ",5,0,7,4.753333,0.487703,0.670617,0.311278,2.236667,1.376472,0,0.112211,0.752511,212.516883,0.003338
9," zc05_170a ",6,0,8.383333,3.816667,0.414313,0.846305,0.302444,56.836667,1.03675,0,0.106434,0.71094,217.394537,0.003488
9," zc05_170a ",7,0,24.666667,31.226667,1.167236,0.934158,1.099889,3.18,0.905056,0.591167,0.245234,1.5182,1945.130436,0.206488
9," zc05_170a ",8,0,7.483333,5.52,0.491817,0.609503,0.294556,2.91,0.5575,0,0.156284,1.023265,224.558282,0.004717
9," zc05_170a ",9,0,5.99,6.656667,0.520909,0.428084,0.294389,8.063333,0.214611,0,0.13318,0.929989,190.012728,0.072788
9," zc05_170a ",10,0,16.076667,20.446667,1.342333,1.004098,1.075667,2.763333,0.549028,0.671361,0.266274,1.675234,1369.00395,0.166055
